,id,class,tags,name_ru,operator,tags_ru,opening_hours,class_ru,addr_region,addr_district,addr_city,addr_full_name,index_name,addr_region_id,addr_district_id,addr_city_id,addr_house_id,addr_in_id,addr_in_type,brand,phone,fax,website,addr_village,addr_street,addr_house,c_geom,addr_country,email,description,wikipedia,osm_id,lat,lon,nclass
590,193875498,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Плотников переулок,5 с2,0101000020E61000004A62AFEB4CCB424013063D1A51DF4B40,Российская Федерация,,,,w176299931,55.744662551686,37.5882849317901,substation
591,193876002,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Гороховский переулок,11-13 с3,0101000020E6100000B50160814DD542405CB8F516F8E14B40,Российская Федерация,,,,w178225604,55.7653835964017,37.6664277762206,substation
592,193880142,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Фрунзенская набережная,28 с2,0101000020E610000052ECCB1033CB4240FB43526EC4DC4B40,Российская Федерация,,,,w188993974,55.7247445966422,37.5874958987921,substation
593,193885628,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,1-й Силикатный проезд,9 с9,0101000020E6100000BE72D0F0D5C14240E5939774D7E14B40,Российская Федерация,,,,w205336021,55.7643876781583,37.5143414514364,substation
594,193873099,substation,{},,,"{'Напряжения': '110000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Бережковская набережная,16Б,0101000020E61000004D7EBBE81EC642408065E31F34DE4B40,Российская Федерация,,,,w169913046,55.7359657154402,37.5478182712073,substation
595,193882832,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E61000005030AD97F0CA4240DA9255116EE04B40,Российская Федерация,,,,w196979634,55.753359,37.5854673,substation
596,193874640,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Большой Афанасьевский переулок,11-13 с2,0101000020E6100000A271A5D465CC42400077299E77DF4B40,Российская Федерация,,,,w173172357,55.7458379461732,37.5968576248008,substation
597,193876427,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Багратионовский проезд,6 к2 с2,0101000020E6100000C20078FA77C14240AD8F98EA93DF4B40,Российская Федерация,,,,w179779758,55.74670155,37.51147395,substation
598,193811189,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,Ленинский район,,"142717, Российская Федерация, Московская область, Ленинский район, Беседы","Подстанция ,  , 142717, Беседы, Ленинский район, Московская область, Российская Федерация, ",787547503,787547779.0,,,787555863,25,,,,,Беседы,,,0101000020E6100000D7468666E8E44240AD94545C0BCE4B40,Российская Федерация,,,,n1024502928,55.6097217,37.7883423,substation
599,193884982,substation,{},Подлипки,,"{'Напряжения': '110000;10000;6000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,городской округ Королёв,Королёв,"Российская Федерация, Московская область, городской округ Королёв, город Королёв","Подстанция , Подлипки , город Королёв, городской округ Королёв, Московская область, Российская Федерация, ",787547503,787549813.0,787550608.0,,787550608,20,,,,,,,,0101000020E610000027FAD74D04E64240D286C3D2C0F54B40,Российская Федерация,,,,w203853691,55.919947,37.79700635,substation
600,194114299,substation,{},Хвойная,,"{'Напряжения': '220000;110000;10000;6000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,городской округ Королёв,Королёв,"Российская Федерация, Московская область, городской округ Королёв, город Королёв","Подстанция , Хвойная , город Королёв, городской округ Королёв, Московская область, Российская Федерация, ",787547503,787549813.0,787550608.0,,787550608,20,,,,,,,,0101000020E61000002282C33D24E542401826C7F04CF44B40,Российская Федерация,,,,r2406333,55.9085980389029,37.7901684956198,substation
601,194075953,substation,{},Север,ФГУП ЦНИИмаш,"{'Напряжения': '110000;10000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,городской округ Королёв,Королёв,"Российская Федерация, Московская область, городской округ Королёв, город Королёв","Подстанция , Север , город Королёв, городской округ Королёв, Московская область, Российская Федерация, ",787547503,787549813.0,787550608.0,,787550608,20,,,,,,,,0101000020E61000003431B4A2D7E542408D53052276F44B40,Российская Федерация,,,,w857679157,55.9098551298149,37.7956431751103,substation
602,193884983,substation,{},Пионерская,,"{'Напряжения': '110000;6000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,городской округ Королёв,Королёв,"Российская Федерация, Московская область, городской округ Королёв, город Королёв","Подстанция , Пионерская , город Королёв, городской округ Королёв, Московская область, Российская Федерация, ",787547503,787549813.0,787550608.0,,787550608,20,,,,,,,,0101000020E6100000490D14310AE742404BC9A398D9F44B40,Российская Федерация,,,,w203853692,55.9128905105341,37.8049985263738,substation
603,194040890,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Никитинская улица,27 к2с1,0101000020E61000000D5D3FB3DAE2424035C7A821E0E64B40,Российская Федерация,,,,w703848846,55.80371495,37.7722992,substation
604,194037955,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E6100000A438EC63AAD34240CF9E701B32ED4B40,Российская Федерация,,,,w692190956,55.85309165,37.6536374,substation
605,194036941,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E6100000351A65A22DCE4240AC36FFAFBAE04B40,Российская Федерация,,,,w688046924,55.75569725,37.61076765,substation
606,193994607,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E6100000B58E6099EDBB4240F68C333C2CD54B40,Российская Федерация,,,,w520385950,55.66541245,37.46818845,substation
607,194037652,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E6100000DA72FAFE45CB424088794D972DCD4B40,Российская Федерация,,,,w690873529,55.6029538276953,37.5880736086744,substation
608,194154082,transformer,{},,,"{'Число фаз': None, 'Напряжения': None, 'Частота тока (Гц)': None}",,Трансформатор,Московская область,,,"Российская Федерация, Московская область","Трансформатор ,  , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E61000005C016BBD68DD4240999B74AE9FF24B40,Российская Федерация,,,,w395496746,55.895498091638,37.729758908509,transformer
609,194053670,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция ,  , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E61000007AB3E5CDE6BD42401736D41831F34B40,Российская Федерация,,,,w769059663,55.8999358211697,37.483606087836,substation
610,194073483,substation,{},,,"{'Напряжения': '220000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция ,  , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E61000001E510355EDD84240B0714FC72DF54B40,Российская Федерация,,,,w846258929,55.9154595506583,37.6947428003498,substation
611,194073484,substation,{},,,"{'Напряжения': '10000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция ,  , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E61000003363D0D0D9D84240B0AEE2BC1BF54B40,Российская Федерация,,,,w846258930,55.914908991513,37.6941472070233,substation
612,194073275,substation,{},Тайнинская,,"{'Напряжения': '220000;6000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция , Тайнинская , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E6100000C6FCF42255D642401435970B72F44B40,Российская Федерация,,,,w844495275,55.9097303856198,37.6744731613376,substation
613,194075962,substation,{},Басово,,"{'Напряжения': '110000;10000;6000', 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция , Басово , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E61000003667C5B818B942403C6E760928F44B40,Российская Федерация,,,,w857679168,55.9074718311572,37.4460669483073,substation
614,194067173,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Московская область,,,"Российская Федерация, Московская область","Подстанция ,  , Московская область, Российская Федерация, ",787547503,,,,787547503,10,,,,,,,,0101000020E61000008462D0AEE7B94240CF566F1E18F24B40,Российская Федерация,,Трансформаторная подстанция,,w815728267,55.89136105,37.4523829,substation
